year,"last_name, first_name",player_id,pitch_hand,api_pitch_type,n_pitches,release_speed,spin_rate,movement_inches,alan_active_spin_pct,active_spin,hawkeye_measured,movement_inferred,api_pitch_name,active_spin_formatted,hawkeye_measured_clock_minutes,movement_inferred_clock_minutes,diff_measured_inferred,diff2,diff_measured_inferred_minutes,hawkeye_measured_clock_hh,hawkeye_measured_clock_mm,movement_inferred_clock_hh,movement_inferred_clock_mm,diff_clock_hh,diff_clock_mm,hawkeye_measured_clock_label,movement_inferred_clock_label,diff_clock_label
,"Maton, Phil",664208,R,CU,415,73.8,3156,24.3,0.921476002,0.971516077,49.21198646,53.89649927,Curveball,97,255,255,-4.684512813,4.684512813,0,4,15,4,15,0,0,4:15,4:15, 0H 00M
,"Nola, Aaron",605400,R,CU,968,79.4,2590,19.1,0.796882254,0.800196375,54.13996448,43.69920885,Curveball,80,255,270,10.44075563,10.44075563,-15,4,15,4,30,0,15,4:15,4:30,-0H 15M
,"Smyly, Drew",592767,L,CU,1184,78.6,2119,5.7,0.256885574,0.363215122,5.73688504,38.43755903,Curveball,36,345,285,-32.70067399,32.70067399,60,5,45,4,45,1,0,5:45,4:45,+1H 00M
,"Abbott, Cory",676265,R,CU,331,84.7,2369,10.1,0.449131141,0.584407064,27.97986955,17.25554925,Curveball,58,300,330,10.72432029,10.72432029,-30,5,0,5,30,0,30,5:00,5:30,-0H 30M
,"Cease, Dylan",656302,R,CU,495,80.2,2641,19,0.797945014,0.806185739,21.56948045,11.09680511,Curveball,81,315,345,10.47267534,10.47267534,-30,5,15,5,45,0,30,5:15,5:45,-0H 30M
,"Cole, Gerrit",543037,R,CU,396,82.9,2783,19.6,0.801932516,0.773591503,37.73178556,32.71070078,Curveball,77,285,300,5.02108478,5.02108478,-15,4,45,5,0,0,15,4:45,5:00,-0H 15M
,"Gray, Josiah",680686,R,CU,425,82.1,2381,6.5,0.287465846,0.324978458,52.02939678,18.07208139,Curveball,32,255,330,33.95731539,33.95731539,-75,4,15,5,30,1,15,4:15,5:30,-1H 15M
,"Snell, Blake",605483,L,CU,621,81,2398,18.5,0.79743396,0.722250166,328.815636,314.7723693,Curveball,72,420,450,14.04326674,14.04326674,-30,7,0,7,30,0,30,7:00,7:30,-0H 30M
,"Barlow, Scott",605130,R,CU,392,78.6,2599,20.6,0.864052655,0.873683581,56.57617637,53.49461094,Curveball,87,240,255,3.08156543,3.08156543,-15,4,0,4,15,0,15,4:00,4:15,-0H 15M
,"Bradish, Kyle",680694,R,CU,455,84.8,2615,16.4,0.69694685,0.74261881,26.32320482,20.72872427,Curveball,74,300,315,5.594480556,5.594480556,-15,5,0,5,15,0,15,5:00,5:15,-0H 15M
